Parent	Child	PanMAN_Diff	MAFFT_Diff	Expected_Mismatch_Count_After_Correction	Mismatch_Count_In_MA_Blocks	Mismatch_Count_In_Corrected_Blocks	All_Mismatch_Count
node_39	node_44	472	261	 256	 224	 8	 472
node_32	22_01A1.CM.2002.02CAMLT72.EU743963	921	704	 729	 198	 6	 921
node_34	0222.CM.2006.NYU488.JN864047	547	83	 83	 470	 6	 547
node_16	node_17	712	438	 451	 266	 5	 712
node_39	node_40	760	177	 301	 465	 6	 760
node_52	A1.CY.2006.CY154.FJ388943	2259	1584	 1673	 616	 30	 2259
node_41	45_cpx.GA.1997.97GA_TB45.FN392877	1104	944	 1104	 0	 0	 1104
node_43	45_cpx.FR.2004.04FR-AUK.EU448295	2638	1608	 1606	 1089	 57	 2638
node_28	22_01A1.CM.2010.10CMLB092.MT349413	2237	1450	 1982	 266	 11	 2237
node_9	node_48	513	470	 513	 0	 0	 513
node_31	node_33	313	89	 93	 224	 4	 313
node_37	node_38	613	248	 247	 368	 2	 613
node_37	138_cpx.BE.2019.EH.MT417770	1499	648	 651	 880	 32	 1499
node_47	AU.CD.1987.PBS1342.MH705135	2317	1661	 1687	 672	 42	 2317
node_24	22_01A1.CM.2010.DE02210CM006.KP109500	1346	623	 623	 724	 1	 1346
node_43	A1K.CM.2007.280-10.KP718919	1303	1000	 1303	 0	 0	 1303
node_42	node_43	429	423	 429	 0	 0	 429
node_12	node_16	116	111	 116	 0	 0	 116
node_40	node_42	511	203	 208	 329	 26	 511
node_25	node_27	585	592	 585	 0	 0	 585
node_14	22_01A1.CM.2010.Read36_HIV_CRF22_01A1.KX228816	952	306	 320	 632	 0	 952
node_17	22_01A1.CM.2010.DE02210CM012.KF716462	1095	854	 847	 248	 0	 1095
node_20	node_25	613	588	 613	 0	 0	 613
node_52	A1U.FR.2011.180002_2.OP994682	195	188	 195	 0	 0	 195
node_21	node_22	253	257	 253	 0	 0	 253
node_35	node_37	382	199	 199	 191	 8	 382
node_23	22_01A1.CM.2010.Read37_HIV_CRF22_01A1.KX228817	1062	503	 508	 556	 2	 1062
node_9	node_10	305	301	 305	 0	 0	 305
node_30	node_31	513	513	 513	 0	 0	 513
node_31	node_32	64	60	 64	 0	 0	 64
node_28	22_01A1.CM.2010.DE02210CM003.KP109498	1439	397	 617	 856	 34	 1439
node_54	node_56	1754	1197	 1754	 0	 0	 1754
node_10	node_11	186	161	 186	 0	 0	 186
node_13	node_14	63	60	 63	 0	 0	 63
node_35	node_36	65	65	 65	 0	 0	 65
node_55	A1U.FR.2011.180002_13.OP994691	2010	508	 1010	 1006	 6	 2010
node_2	node_3	1259	866	 1259	 0	 0	 1259
node_45	45_cpx.CM.1997.97CM_MP814.FN392876	1957	986	 1491	 493	 27	 1957
node_50	node_51	731	401	 399	 332	 0	 731
node_11	node_20	80	84	 80	 0	 0	 80
node_50	node_54	339	125	 125	 224	 10	 339
node_45	45_cpx.CD.1997.97CD_MBS30.FN392875	1895	1321	 1352	 589	 46	 1895
node_27	22_01A1.CM.2010.DE02210CM011.KF716461	241	239	 241	 0	 0	 241
node_22	22_01A1.CM.2002.02CM_3097MN.GQ229529	1898	759	 914	 1004	 20	 1898
node_48	node_49	39	39	 39	 0	 0	 39
node_34	0222.CM.2006.ARC087.JN864048	438	77	 71	 368	 1	 438
node_27	node_28	637	223	 637	 0	 0	 637
node_18	22_01A1.CM.2008.08CMBDSH138.MN153487	1524	905	 969	 566	 11	 1524
node_26	22_01A1.CM.2010.DE02210CM014.KF716463	1806	1384	 1445	 368	 7	 1806
node_26	22_01A1.CM.2010.LB011.JN864051	1587	765	 765	 846	 24	 1587
node_30	node_35	608	353	 346	 266	 4	 608
node_40	node_41	1054	441	 687	 368	 1	 1054
node_55	A1U.FR.2011.180002_15.OP994693	871	539	 539	 332	 0	 871
node_25	node_26	21	24	 21	 0	 0	 21
node_36	138_cpx.BE.2019.B.MN989925	1077	695	 738	 363	 24	 1077
node_36	22_01A1.CM.2010.10CMLB071.MT349410	2284	1153	 1198	 1122	 36	 2284
node_38	22F2.CM.2007.BS72.KR017779	1140	827	 877	 266	 3	 1140
node_8	node_9	391	380	 391	 0	 0	 391
node_22	0122F.CM.2001.01CM_0130NY.AY371167	1423	1134	 1423	 0	 0	 1423
node_38	138_cpx.CM.2011.CHU3903.KP718932	507	498	 507	 0	 0	 507
node_3	node_4	1588	850	 1588	 0	 0	 1588
node_29	node_39	458	461	 458	 0	 0	 458
node_51	node_52	709	188	 449	 266	 6	 709
node_44	node_46	617	255	 250	 368	 1	 617
node_51	node_53	0	0	 0	 0	 0	 0
node_46	45_cpx.CD.1997.97CD_MBFE185.FN392874	872	880	 872	 0	 0	 872
node_7	node_8	410	86	 146	 266	 2	 410
node_44	node_45	493	195	 285	 210	 2	 493
node_29	node_30	204	145	 204	 0	 0	 204
node_54	node_55	314	22	 20	 312	 18	 314
node_49	node_50	1118	779	 817	 328	 27	 1118
node_6	node_7	153	47	 153	 0	 0	 153
node_33	0222.CM.2002.02CAMLT04.EU743964	2045	969	 1325	 738	 18	 2045
node_18	node_19	1575	854	 850	 738	 13	 1575
node_33	node_34	749	754	 749	 0	 0	 749
node_19	22_01A1.CM.2002.02CM_1867LE.AY371165	333	322	 333	 0	 0	 333
node_19	22_01A1.CM.2001.01CM_0001BBY.AY371159	1792	299	 797	 1066	 71	 1792
node_12	node_13	1026	783	 1026	 0	 0	 1026
node_24	22_01A1.CM.2010.LB054.JN864059	610	382	 382	 228	 0	 610
node_20	node_21	90	90	 90	 0	 0	 90
node_23	node_24	166	184	 166	 0	 0	 166
node_4	node_5	478	397	 478	 0	 0	 478
node_46	node_47	1162	844	 1162	 0	 0	 1162
node_21	node_23	300	311	 300	 0	 0	 300
node_53	A1U.FR.2011.180002_3.OP994683	1072	0	 0	 1072	 0	 1072
node_42	U.CD.2001.CG-0066-01_NGSID18.KY392780	2095	1852	 1885	 210	 0	 2095
node_11	node_12	109	100	 109	 0	 0	 109
node_41	AF2.CM.2002.02CM_3163MN.AY371160	1933	1279	 1475	 490	 32	 1933
node_15	22_01A1.CM.2010.DE02210CM005.KP109499	1598	929	 1234	 368	 4	 1598
node_47	A1.CM.2011.11CMMDC241.MT349418	1833	922	 1286	 590	 43	 1833
node_53	A1U.FR.2011.180002_11.OP994688	560	0	 0	 560	 0	 560
node_16	node_18	405	195	 185	 224	 4	 405
node_5	node_6	447	326	 447	 0	 0	 447
node_13	node_15	623	279	 284	 354	 15	 623
node_32	22_01A1.CM.2006.LPH27MF.JN864049	1419	771	 799	 644	 24	 1419
node_14	22_01A1.CM.2010.LB005.JN864050	1273	266	 273	 1003	 3	 1273
node_15	22_01A1.CM.2010.DE02210CM010.KF716460	1594	353	 359	 1286	 51	 1594
node_1	node_2	1957	1863	 1957	 0	 0	 1957
node_10	node_29	371	176	 176	 199	 4	 371
node_17	22_01A1.CM.2010.LB013.JN864058	1741	674	 674	 1076	 9	 1741
node_56	A1D.UG.2007.p191947.JX236674	1281	1284	 1281	 0	 0	 1281
node_56	node_57	436	134	 135	 322	 21	 436
node_57	A1D.UG.2007.DEURF08UG002.KF716504	2002	584	 1362	 688	 48	 2002
node_49	node_58	82	83	 82	 0	 0	 82
node_59	node_60	567	423	 567	 0	 0	 567
node_60	02A1.PK.2014.DEURF14PK015.KU749414	1944	761	 876	 1068	 0	 1944
node_57	AU.CD.1997.97CD_KMST91.FM877784	2044	1368	 1684	 368	 8	 2044
node_58	node_59	389	123	 124	 266	 1	 389
node_61	02A1.PK.2015.DEURF15PK033.KY658719	1259	516	 516	 754	 11	 1259
node_59	node_61	230	216	 230	 0	 0	 230
node_60	02A1.PK.2014.PK015.KX232608	1418	1302	 1418	 0	 0	 1418
node_61	node_62	427	181	 181	 260	 14	 427
node_62	02A1.PK.2015.PK033.KX232623	700	443	 441	 266	 7	 700
node_62	A1.PK.2014.PK017.KX232610	1721	1096	 1153	 578	 10	 1721
node_64	A1.PK.2014.PK016.KX232609	890	576	 577	 319	 6	 890
node_58	node_63	117	118	 117	 0	 0	 117
node_48	node_67	403	102	 137	 266	 0	 403
node_67	node_68	237	236	 237	 0	 0	 237
node_64	A1.PK.2014.PK018.KX232611	1846	598	 1080	 782	 16	 1846
node_63	node_64	384	382	 384	 0	 0	 384
node_74	A1.PK.2014.PK013.KX232606	731	421	 419	 312	 0	 731
node_63	node_65	762	762	 762	 0	 0	 762
node_72	A1.PK.2014.PK001.KX232594	1414	597	 602	 844	 32	 1414
node_65	node_66	43	37	 43	 0	 0	 43
node_69	node_70	408	138	 146	 266	 4	 408
node_78	node_79	160	157	 160	 0	 0	 160
node_67	node_77	137	136	 137	 0	 0	 137
node_68	node_69	60	62	 60	 0	 0	 60
node_69	node_71	862	334	 343	 537	 18	 862
node_73	node_75	628	626	 628	 0	 0	 628
node_79	A1.PK.2015.PK034.KX232624	2046	883	 882	 1196	 32	 2046
node_75	node_76	192	189	 192	 0	 0	 192
node_68	node_73	379	382	 379	 0	 0	 379
node_66	A1.PK.2015.PK021.KX232614	2487	694	 1189	 1344	 46	 2487
node_65	A1.PK.2014.PK002.KX232595	794	202	 207	 593	 6	 794
node_73	node_74	295	286	 295	 0	 0	 295
node_97	node_98	867	229	 240	 678	 51	 867
node_66	A1.PK.2014.DEMA114PK002.KU749410	1401	111	 131	 1387	 117	 1401
node_72	A1.PK.2014.PK004.KX232597	2535	1067	 1111	 1489	 65	 2535
node_75	A1.PK.2015.PK026.KX232618	1409	449	 449	 970	 10	 1409
node_78	node_80	647	385	 383	 266	 2	 647
node_84	02_AG.PK.2015.PK032.KX232622	1341	562	 1011	 332	 2	 1341
node_92	02_AG.PK.2015.DE00215PK035.KY658712	2674	1447	 1452	 1244	 22	 2674
node_70	A1.PK.2014.PK014.KX232607	2344	1085	 1106	 1263	 25	 2344
node_8	node_86	164	167	 164	 0	 0	 164
node_70	A1.PK.2015.DEMA115PK021.MT222942	1826	978	 997	 869	 40	 1826
node_76	A1.PK.2014.DEMA114PK027.KY658714	1914	915	 931	 986	 3	 1914
node_74	A1.PK.2014.DEMA114PK013.KU749411	1456	575	 575	 882	 1	 1456
node_71	node_72	735	458	 453	 308	 26	 735
node_83	A1.PK.2014.PK007.KX232600	1206	721	 729	 490	 13	 1206
node_71	A1.PK.2014.DEMA114PK001.KU749409	856	850	 856	 0	 0	 856
node_81	A1.PK.2015.DEMA115PK030.KY658715	783	515	 518	 266	 1	 783
node_81	A1.PK.2015.PK031.KX232621	2872	519	 517	 2427	 72	 2872
node_79	A1.PK.2015.PK036.KX232626	1849	897	 916	 970	 37	 1849
node_89	node_93	456	192	 191	 266	 1	 456
node_87	node_88	270	269	 270	 0	 0	 270
node_80	A1.PK.2015.PK030.KX232620	844	582	 586	 260	 2	 844
node_92	02A1.PK.2015.PK039.KX232628	1216	743	 754	 472	 10	 1216
node_77	node_78	35	35	 35	 0	 0	 35
node_89	node_90	377	217	 218	 162	 3	 377
node_83	A1.PK.2015.DEMA115PK031.KY658716	1501	743	 1003	 518	 20	 1501
node_90	node_91	355	141	 141	 216	 2	 355
node_85	02A1.PK.2015.DE00215PK038.KY658713	961	244	 263	 700	 2	 961
node_88	node_89	300	304	 300	 0	 0	 300
node_93	node_95	531	385	 531	 0	 0	 531
node_80	node_81	7	7	 7	 0	 0	 7
node_77	node_82	106	106	 106	 0	 0	 106
node_96	02A1.PK.2015.PK023.KX232615	970	504	 505	 468	 3	 970
node_95	02A1.PK.2014.PK003.KX232596	1467	719	 998	 482	 13	 1467
node_93	node_94	43	43	 43	 0	 0	 43
node_76	A1.PK.2014.PK027.KX232619	1284	222	 214	 1080	 10	 1284
node_91	02A1.PK.2014.PK019.KX232612	1354	858	 1354	 0	 0	 1354
node_100	node_101	266	245	 266	 0	 0	 266
node_84	node_85	521	271	 261	 266	 6	 521
node_86	node_87	257	100	 257	 0	 0	 257
node_103	02A1.PK.2015.PK040.KX232629	1530	1053	 1101	 434	 5	 1530
node_82	node_84	1283	1236	 1283	 0	 0	 1283
node_94	02A1.PK.2015.PK025.KX232617	1929	943	 952	 998	 21	 1929
node_91	02_AG.PK.2015.PK024.KX232616	1713	922	 925	 802	 14	 1713
node_85	02A1.PK.2015.PK038.KX232627	1064	303	 301	 781	 18	 1064
node_98	node_99	768	440	 448	 332	 12	 768
node_82	node_83	108	108	 108	 0	 0	 108
node_99	02A1.PK.2014.DEURF14PK006.KU749413	2345	1186	 1218	 1138	 11	 2345
node_96	02A1.PK.2015.DEURF15PK023.KY658718	1941	634	 634	 1312	 5	 1941
node_90	node_92	352	25	 25	 333	 6	 352
node_88	node_97	368	252	 368	 0	 0	 368
node_97	node_102	474	361	 474	 0	 0	 474
node_95	node_96	277	259	 277	 0	 0	 277
node_94	02_AG.PK.2015.PK035.KX232625	2001	956	 960	 1082	 41	 2001
node_102	node_104	803	799	 803	 0	 0	 803
node_87	node_106	531	505	 531	 0	 0	 531
node_101	02A1.PK.2014.PK008.KX232601	1620	1379	 1416	 224	 20	 1620
