Parent	Child	PanMAN_Diff	MAFFT_Diff	Expected_Mismatch_Count_After_Correction	Mismatch_Count_In_MA_Blocks
node_104674	OU420157.1	 0	0	 0	 0
node_1318000	OQ312866.1	 0	0	 0	 0
node_309374	OR560069.1	 0	0	 0	 0
node_1282919	OM189032.1	 0	0	 0	 0
node_1022173	OQ557835.1	 0	0	 0	 0
node_123734	OY360317.1	 0	0	 0	 0
node_1458155	OU463162.1	 0	0	 0	 0
node_585426	node_585429	 0	0	 0	 0
node_955247	OM289967.1	 0	0	 0	 0
node_123180	node_123329	 0	0	 0	 0
node_1492454	OU773806.1	 0	0	 0	 0
node_353646	OQ827536.1	 0	0	 0	 0
node_1411374	OY446768.1	 0	0	 0	 0
node_519255	OX778572.1	 0	0	 0	 0
node_192169	OQ757128.1	 0	0	 0	 0
node_742854	OX706937.1	 0	0	 0	 0
node_1655160	node_1655161	 0	0	 0	 0
node_278646	OW167684.1	 0	0	 0	 0
node_249801	ON573548.1	 0	0	 0	 0
node_1567888	OU650066.1	 0	0	 0	 0
node_1278	OU161865.1	 0	0	 0	 0
node_1500839	OV255353.1	 0	0	 0	 0
node_689158	node_689159	 0	0	 0	 0
node_1659209	OC998646.1	 0	0	 0	 0
node_755558	node_755559	 0	0	 0	 0
node_1014210	OY640123.1	 0	0	 0	 0
node_1479088	OY510379.1	 0	0	 0	 0
node_1462592	OU960910.1	 0	0	 0	 0
node_1026370	OX979639.1	 0	0	 0	 0
node_1528152	OV256889.1	 0	0	 0	 0
node_1311073	OY605854.1	 0	0	 0	 0
node_123809	OU808627.1	 0	0	 0	 0
node_333681	OR206711.1	 0	0	 0	 0
node_1311073	OU306957.1	 0	0	 0	 0
node_1086577	OM011919.1	 0	0	 0	 0
node_1259403	node_1259415	 0	0	 0	 0
node_1126163	OM040685.1	 0	0	 0	 0
node_1602204	OK466467.1	 0	0	 0	 0
node_763811	OX192210.1	 0	0	 0	 0
node_622129	node_622701	 0	0	 0	 0
node_868833	node_868834	 0	0	 0	 0
node_1084448	node_1084449	 0	0	 0	 0
node_1133630	OK063124.1	 0	0	 0	 0
node_1375496	OL920796.1	 0	0	 0	 0
node_858431	OM171409.1	 0	0	 0	 0
node_1593683	OK603116.1	 0	0	 0	 0
node_369004	OQ364064.1	 0	0	 0	 0
node_1058821	MZ954056.1	 0	0	 0	 0
node_1042750	node_1042752	 0	0	 0	 0
node_1342875	OK164718.1	 0	0	 0	 0
node_988587	OV964512.1	 0	0	 0	 0
node_190353	node_190359	 0	0	 0	 0
node_1106747	OV312487.1	 0	0	 0	 0
node_1424539	OX870942.1	 0	0	 0	 0
node_256523	OX185519.1	 0	0	 0	 0
node_1153929	OM053142.1	 0	0	 0	 0
node_1355203	MZ857887.1	 0	0	 0	 0
node_1167957	OL715930.1	 0	0	 0	 0
node_572838	OP421520.1	 0	0	 0	 0
node_425735	OW385375.1	 0	0	 0	 0
node_592444	OP371742.1	 0	0	 0	 0
node_1418129	node_1418130	 0	0	 0	 0
node_1377912	ON670494.1	 0	0	 0	 0
node_1325768	OX447678.1	 0	0	 0	 0
node_119840	OU140166.1	 0	0	 0	 0
node_720466	ON452522.1	 0	0	 0	 0
node_277744	OV968000.1	 0	0	 0	 0
node_1461295	node_1461452	 0	0	 0	 0
node_1330225	OK057103.1	 0	0	 0	 0
node_239378	OM973424.1	 0	0	 0	 0
node_1498047	OU749498.1	 0	0	 0	 0
node_1488920	OV049059.1	 0	0	 0	 0
node_257147	OW289926.1	 0	0	 0	 0
node_1013024	OY280678.1	 0	0	 0	 0
node_1469985	OV479129.1	 0	0	 0	 0
node_1589005	node_1589006	 0	0	 0	 0
node_1191237	OK569608.1	 0	0	 0	 0
node_1235617	OU928705.1	 0	0	 0	 0
node_1500095	OV538506.1	 0	0	 0	 0
node_490298	node_490429	 0	0	 0	 0
node_443865	OX132436.1	 0	0	 0	 0
node_1057505	node_1057822	 0	0	 0	 0
node_1086381	OM146815.1	 0	0	 0	 0
node_476587	node_476813	 0	0	 0	 0
node_469183	OY228855.1	 0	0	 0	 0
node_590512	node_595335	 0	0	 0	 0
node_865010	OV707068.1	 0	0	 0	 0
node_1239738	OW333247.1	 0	0	 0	 0
node_1297660	OU849468.1	 0	0	 0	 0
node_832425	OW013113.1	 0	0	 0	 0
node_295404	PQ020184.1	 0	0	 0	 0
node_861476	OM769050.1	 0	0	 0	 0
node_963360	OM233008.1	 0	0	 0	 0
node_562263	OX293676.1	 0	0	 0	 0
node_147694	OL369124.1	 0	0	 0	 0
node_1406690	OY874120.1	 0	0	 0	 0
node_73283	MW987024.1	 0	0	 0	 0
node_968465	OW591160.1	 0	0	 0	 0
node_955247	node_991216	 0	0	 0	 0
node_420608	node_420609	 0	0	 0	 0
node_1487277	OV136516.1	 0	0	 0	 0
node_665710	OX293914.1	 0	0	 0	 0
node_719221	OW972174.1	 0	0	 0	 0
node_898325	OV811947.1	 0	0	 0	 0
node_1539222	OU832321.1	 0	0	 0	 0
node_1280744	OV884905.1	 0	0	 0	 0
node_1616666	node_1616667	 0	0	 0	 0
node_1098444	OK368216.1	 0	0	 0	 0
node_1419015	OU371434.1	 0	0	 0	 0
node_1152046	OL361644.1	 0	0	 0	 0
node_681342	OP401262.1	 0	0	 0	 0
node_383511	OR217071.1	 0	0	 0	 0
node_1433016	OV266721.1	 0	0	 0	 0
node_367883	node_367884	 0	0	 0	 0
node_1246684	OU911444.1	 0	0	 0	 0
node_1555818	node_1555820	 0	0	 0	 0
node_983384	ON189868.2	 0	0	 0	 0
node_1015168	OA969539.1	 0	0	 0	 0
node_143165	OX537724.1	 0	0	 0	 0
node_1399290	OV068635.1	 0	0	 0	 0
node_357844	OY291393.1	 0	0	 0	 0
node_1649176	PP604671.1	 0	0	 0	 0
node_138783	OU146198.1	 0	0	 0	 0
node_1211281	MZ577508.1	 0	0	 0	 0
node_986801	OM833911.1	 0	0	 0	 0
node_560766	OP982971.1	 0	0	 0	 0
node_1065005	OM188960.1	 0	0	 0	 0
node_1651236	node_1651239	 0	0	 0	 0
node_935332	OM910171.2	 0	0	 0	 0
node_1401948	OV129486.1	 0	0	 0	 0
node_869918	OM539414.1	 0	0	 0	 0
node_469183	OY253902.1	 0	0	 0	 0
node_1435399	OY888489.1	 0	0	 0	 0
node_444510	OQ266872.1	 0	0	 0	 0
node_753411	OX204262.1	 0	0	 0	 0
node_768720	OW079559.1	 0	0	 0	 0
node_292625	OR871910.1	 0	0	 0	 0
node_695735	England/CLIMB-CM7YJ1WO/2024	 153	153	 153	 0
node_270019	OW134144.1	 0	0	 0	 0
node_1644223	MZ038737.1	 0	0	 0	 0
node_607765	OY175323.1	 0	0	 0	 0
node_1359121	MZ804448.1	 0	0	 0	 0
node_830569	OV782061.1	 0	0	 0	 0
node_983190	OM318097.1	 0	0	 0	 0
node_763123	node_763153	 0	0	 0	 0
node_525989	OX036319.1	 0	0	 0	 0
node_1602011	MZ740606.1	 0	0	 0	 0
node_854419	OM140495.1	 0	0	 0	 0
node_1424239	OU385884.1	 0	0	 0	 0
node_1233141	OV109249.1	 0	0	 0	 0
node_543930	OY227365.1	 0	0	 0	 0
node_503421	OX971988.1	 0	0	 0	 0
node_952813	OV687619.1	 0	0	 0	 0
node_133407	node_133413	 0	0	 0	 0
node_230233	node_230234	 0	0	 0	 0
node_1169828	OL460042.1	 0	0	 0	 0
node_1444950	OU631473.1	 0	0	 0	 0
node_1562316	OU311141.1	 0	0	 0	 0
node_250159	OW066029.1	 0	0	 0	 0
node_738374	OX016807.1	 0	0	 0	 0
node_465291	OP920064.2	 0	0	 0	 0
node_1221293	OK066150.1	 0	0	 0	 0
node_1585523	OK498141.1	 0	0	 0	 0
node_767978	ON066148.1	 0	0	 0	 0
node_953224	OW788664.1	 0	0	 0	 0
node_1059265	OK437540.1	 0	0	 0	 0
node_1110196	OV119494.1	 0	0	 0	 0
node_1007442	OY906260.1	 0	0	 0	 0
node_607610	OQ641339.1	 0	0	 0	 0
node_224740	OW408778.1	 0	0	 0	 0
node_300439	node_300555	 0	0	 0	 0
node_1326642	OV672305.1	 0	0	 0	 0
node_972796	PP185933.1	 0	0	 0	 0
node_241521	OY114959.1	 0	0	 0	 0
node_577285	OX289545.1	 0	0	 0	 0
node_356590	PP198674.1	 0	0	 0	 0
node_850744	OM168615.1	 0	0	 0	 0
node_198713	OU324615.1	 0	0	 0	 0
node_139366	node_139367	 0	0	 0	 0
node_842705	node_842708	 0	0	 0	 0
node_905809	OV854586.1	 0	0	 0	 0
node_475939	OQ403058.1	 0	0	 0	 0
node_600633	OX344565.1	 0	0	 0	 0
node_1041115	OU998106.1	 0	0	 0	 0
node_501495	OX384618.1	 0	0	 0	 0
node_432144	OW141456.1	 0	0	 0	 0
node_819078	OX774615.1	 0	0	 0	 0
node_1390791	OV276702.1	 0	0	 0	 0
node_202133	OU318554.1	 0	0	 0	 0
node_374144	node_374150	 0	0	 0	 0
node_1157025	OR057352.1	 0	0	 0	 0
node_1274101	ON581632.1	 0	0	 0	 0
node_190329	node_190330	 0	0	 0	 0
node_119295	OY376461.1	 0	0	 0	 0
node_939611	OY280748.1	 0	0	 0	 0
node_1461942	OY499016.1	 0	0	 0	 0
node_1149136	OL571287.1	 0	0	 0	 0
node_974563	OM916618.1	 0	0	 0	 0
node_1467086	node_1467087	 0	0	 0	 0
node_1475496	OU675235.1	 0	0	 0	 0
node_593552	OP372737.1	 0	0	 0	 0
node_452756	OX297358.1	 0	0	 0	 0
node_859994	node_859995	 0	0	 0	 0
node_120685	node_120686	 0	0	 0	 0
node_1390357	OV292981.1	 0	0	 0	 0
node_668379	OY848259.1	 0	0	 0	 0
node_126522	MZ056423.1	 0	0	 0	 0
node_1453803	OW479706.1	 0	0	 0	 0
node_802320	node_802321	 0	0	 0	 0
node_770111	OW280760.1	 0	0	 0	 0
node_1041875	OV843596.1	 0	0	 0	 0
node_154314	MZ270849.1	 0	0	 0	 0
node_80934	node_80935	 0	0	 0	 0
node_1408390	OY873464.1	 0	0	 0	 0
node_1518289	OU544904.1	 0	0	 0	 0
node_1117091	MZ535282.1	 0	0	 0	 0
node_242857	OY716566.1	 0	0	 0	 0
node_1563089	node_1563090	 0	0	 0	 0
node_491939	OQ243107.1	 0	0	 0	 0
node_432956	OW588334.2	 0	0	 0	 0
node_1403156	OX532575.1	 0	0	 0	 0
node_822199	OM404933.1	 0	0	 0	 0
node_1168478	OL827633.1	 0	0	 0	 0
node_696429	PQ156286.1	 0	0	 0	 0
node_740466	ON845155.1	 0	0	 0	 0
node_1306702	OK187267.1	 0	0	 0	 0
node_1073863	node_1073864	 0	0	 0	 0
node_1673815	node_1673817	 0	0	 0	 0
node_1663223	OM756931.1	 0	0	 0	 0
node_1424422	OU546137.1	 0	0	 0	 0
node_271078	OW152339.1	 0	0	 0	 0
node_1390324	node_1390327	 0	0	 0	 0
node_438159	OX037506.1	 0	0	 0	 0
node_1234582	OU574680.2	 0	0	 0	 0
node_206660	OX965670.1	 0	0	 0	 0
node_650887	OX999828.1	 0	0	 0	 0
node_1248700	OU642964.1	 0	0	 0	 0
node_484707	OQ137577.1	 0	0	 0	 0
node_1409379	OU590851.1	 0	0	 0	 0
node_993355	OM393844.1	 0	0	 0	 0
node_1172831	node_1172836	 0	0	 0	 0
node_1503389	OW460028.1	 0	0	 0	 0
node_1513656	OU816199.1	 0	0	 0	 0
node_995139	OV718203.1	 0	0	 0	 0
node_554060	OZ059295.1	 0	0	 0	 0
node_1096464	OK390363.1	 0	0	 0	 0
node_236222	OW041760.1	 0	0	 0	 0
node_1423106	OV335222.1	 0	0	 0	 0
node_1656786	OK598902.1	 0	0	 0	 0
node_1402815	OU650499.1	 0	0	 0	 0
node_355894	OQ467331.1	 0	0	 0	 0
node_1466343	OV029130.1	 0	0	 0	 0
node_254239	node_254240	 0	0	 0	 0
node_955247	node_979747	 0	0	 0	 0
node_270470	node_270518	 0	0	 0	 0
node_1225401	OK215991.1	 0	0	 0	 0
node_1458921	OV115301.1	 0	0	 0	 0
node_1395601	OX501441.1	 0	0	 0	 0
node_622792	OY246481.1	 0	0	 0	 0
node_777462	ON335447.1	 0	0	 0	 0
node_1428191	node_1429122	 0	0	 0	 0
node_770111	OW958441.2	 0	0	 0	 0
node_1429227	OX721134.1	 0	0	 0	 0
node_1443717	OV268186.1	 0	0	 0	 0
node_1131138	OK360234.1	 0	0	 0	 0
node_495075	OY807412.1	 0	0	 0	 0
node_1448940	OY492022.1	 0	0	 0	 0
node_1517009	OY421614.1	 0	0	 0	 0
node_192392	MZ005991.1	 0	0	 0	 0
node_409248	OY179993.1	 0	0	 0	 0
node_581408	ON844419.1	 0	0	 0	 0
node_441396	ON253571.1	 0	0	 0	 0
node_170585	OU395540.1	 0	0	 0	 0
node_187598	node_187716	 0	0	 0	 0
node_90845	node_90848	 0	0	 0	 0
node_117875	OU050306.1	 0	0	 0	 0
node_208404	OY396942.1	 0	0	 0	 0
node_177798	MZ320464.1	 0	0	 0	 0
node_320592	PP050386.1	 0	0	 0	 0
node_1417579	OU705276.1	 0	0	 0	 0
node_143392	OX525345.1	 0	0	 0	 0
node_1245373	OV632316.1	 0	0	 0	 0
node_204572	node_204573	 0	0	 0	 0
node_567118	node_567120	 0	0	 0	 0
node_675260	node_675261	 0	0	 0	 0
node_819288	OY295656.1	 0	0	 0	 0
node_1312564	OU849803.1	 0	0	 0	 0
node_1457623	ON434221.1	 0	0	 0	 0
node_1432979	OV436351.1	 0	0	 0	 0
node_1541308	OU585689.1	 0	0	 0	 0
node_322199	node_322200	 0	0	 0	 0
node_1436313	OV049712.1	 0	0	 0	 0
node_438316	OX131470.1	 0	0	 0	 0
node_972225	ON594663.1	 0	0	 0	 0
node_1314487	OV162443.1	 0	0	 0	 0
node_1115247	OY016891.1	 0	0	 0	 0
node_875190	OY452556.1	 0	0	 0	 0
node_1545514	OV670257.1	 0	0	 0	 0
node_949248	OM989203.1	 0	0	 0	 0
node_469940	OX248003.1	 0	0	 0	 0
node_1660649	OL844345.1	 0	0	 0	 0
node_892616	node_892617	 0	0	 0	 0
node_438279	OW250843.1	 0	0	 0	 0
node_1102494	OK609519.1	 0	0	 0	 0
node_691031	PP625381.1	 0	0	 0	 0
node_1007442	OW544238.1	 0	0	 0	 0
node_6800	PP518873.1	 0	0	 0	 0
node_841481	OV800095.1	 0	0	 0	 0
node_1082523	OL797437.1	 0	0	 0	 0
node_919849	node_919869	 0	0	 0	 0
node_963936	OM495249.1	 0	0	 0	 0
node_19068	OC998673.1	 0	0	 0	 0
node_164381	node_164396	 0	0	 0	 0
node_782714	OY189187.1	 0	0	 0	 0
node_1245848	OU959227.2	 0	0	 0	 0
node_1483657	England/MILK-2BCCF3F/2021	 297	297	 297	 0
node_1053059	OV102681.2	 0	0	 0	 0
node_1359543	OM082008.1	 0	0	 0	 0
node_1544695	OV083204.1	 0	0	 0	 0
node_864193	OV596463.1	 0	0	 0	 0
node_1235296	node_1235298	 0	0	 0	 0
node_932321	OM338535.1	 0	0	 0	 0
node_1531885	node_1531893	 0	0	 0	 0
node_1088607	node_1088608	 0	0	 0	 0
node_1153521	OM093203.1	 0	0	 0	 0
node_1389534	OU544315.1	 0	0	 0	 0
node_154903	MW991755.1	 0	0	 0	 0
node_904829	OV774720.1	 0	0	 0	 0
node_233404	OY502273.1	 0	0	 0	 0
node_901751	OW071357.1	 0	0	 0	 0
node_108556	OD979243.1	 0	0	 0	 0
node_237372	OW808685.1	 0	0	 0	 0
node_1518325	OU614334.1	 0	0	 0	 0
node_1335136	OM400906.2	 0	0	 0	 0
node_56954	MW638460.1	 0	0	 0	 0
node_171836	OU016560.1	 0	0	 0	 0
node_669899	OX439796.1	 0	0	 0	 0
node_30935	ON285945.1	 0	0	 0	 0
node_1442860	OW098874.1	 0	0	 0	 0
node_774633	OX010055.2	 0	0	 0	 0
node_835374	OV470432.1	 0	0	 0	 0
node_361295	OX865227.1	 0	0	 0	 0
node_1421293	ON274938.1	 0	0	 0	 0
node_63323	OL967150.1	 0	0	 0	 0
node_1082430	OL802811.1	 0	0	 0	 0
node_447754	OP282580.1	 0	0	 0	 0
node_1262217	OK499960.1	 0	0	 0	 0
node_1486248	OV068168.1	 0	0	 0	 0
node_1006600	OW222149.1	 0	0	 0	 0
node_349808	OQ602220.1	 0	0	 0	 0
node_960715	OW385737.1	 0	0	 0	 0
node_830524	OY634584.1	 0	0	 0	 0
node_972424	OW175884.1	 0	0	 0	 0
node_1073025	OK224461.1	 0	0	 0	 0
node_123469	node_123483	 0	0	 0	 0
node_1667649	MZ039397.1	 0	0	 0	 0
node_469183	OY239862.1	 0	0	 0	 0
node_850399	OW670608.1	 0	0	 0	 0
node_118735	OU030229.1	 0	0	 0	 0
node_1472608	node_1472609	 0	0	 0	 0
node_894617	node_918249	 0	0	 0	 0
node_725900	OW666389.1	 0	0	 0	 0
node_941129	OM395844.1	 0	0	 0	 0
node_482951	OQ115190.1	 0	0	 0	 0
node_1072328	node_1073727	 0	0	 0	 0
node_525198	OP096112.1	 0	0	 0	 0
node_1435184	OU842170.1	 0	0	 0	 0
node_1429803	node_1429810	 0	0	 0	 0
node_436123	OY978612.1	 0	0	 0	 0
node_118297	OU214156.1	 0	0	 0	 0
node_225320	OY020079.1	 0	0	 0	 0
node_1051752	node_1051899	 0	0	 0	 0
node_667349	OY183974.1	 0	0	 0	 0
node_815531	OW271733.1	 0	0	 0	 0
node_1387632	OU765159.1	 0	0	 0	 0
node_1417526	OU448195.1	 0	0	 0	 0
node_717241	ON627482.1	 0	0	 0	 0
node_228911	OW374753.1	 0	0	 0	 0
node_1522609	OY496022.1	 0	0	 0	 0
node_1099965	OK117071.1	 0	0	 0	 0
node_134404	OR307619.1	 0	0	 0	 0
node_1496379	OX548313.1	 0	0	 0	 0
node_753338	OW997342.2	 0	0	 0	 0
node_559062	OY083168.1	 0	0	 0	 0
