Parent	Child	PanMAN_Diff	MAFFT_Diff
node_25	node_26	0	0
node_48	node_49	0	0
node_20	node_25	68	68
node_46	node_47	0	0
node_3	node_4	875	389
node_19	Germany/IMS-10203-CVDP-12B694D7-782F-4AC4-8615-8CA715A3F20B/2022|OY114159.1|2022-04-15	1058	450
node_36	USA/FL-CDC-QDX35624181/2022|ON311591.1|2022-04-05	461	461
node_45	England/NORT-YNN8GS3/2022|OX069180.1|2022-03-03	591	591
node_11	node_20	0	0
node_21	node_22	0	0
node_25	node_27	76	76
node_6	node_7	34	34
node_50	node_54	41	41
node_35	node_36	8	8
node_22	USA/FL-CDC-STM-UYFQF3MN3/2022|ON653646.1|2022-05-17	837	591
node_21	node_23	309	309
node_33	Scotland/CLIMB-CM7YJWQA/2022|2022-04-07	590	590
node_29	node_39	246	0
node_51	node_53	1	1
node_4	node_5	288	19
node_7	node_8	252	0
node_13	node_15	294	88
node_12	node_16	20	20
node_28	England/MILK-32CA7D5/2022|OV751269.1|2022-01-16	451	451
node_31	node_32	0	0
node_54	node_56	648	34
node_19	England/LSPA-3E3AFFA/2022|OX037451.1|2022-05-30	354	354
node_39	node_44	0	0
node_26	USA/NM-CDC-QDX39214603/2022|OP170782.1|2022-07-17	400	400
node_15	USA/CA-CDC-QDX37346306/2022|ON739287.1|2022-05-22	486	486
node_9	node_10	0	0
node_16	node_18	255	255
node_35	node_37	1	1
node_41	Scotland/QEUH-3DCC86C/2022|OW820705.1|2022-04-26	592	592
node_27	node_28	0	0
node_39	node_40	0	0
node_23	node_24	1	1
node_10	node_29	0	0
node_53	England/ALDP-3782929/2022|OW113291.1|2022-02-17	1053	522
node_12	node_13	68	68
node_32	VNM/OUCRU-NHTD3102/2022|OP326038.1|2022-05-29	719	473
node_38	England/QEUH-2EA1DAA2/2022|OY670706.1|2022-03-29	591	591
node_42	England/LSPA-3780EB3/2022|OW112810.1|2022-02-18	588	588
node_36	USA/FL-CDC-QDX34933928/2022|ON111985.1|2022-03-15	915	461
node_37	node_38	0	0
node_42	node_43	247	1
node_44	node_45	0	0
node_45	USA/IN-CDC-STM-DEQAFX6DJ/2022|ON689495.1|2022-05-13	590	590
node_26	USA/MO-CDC-QDX36965205/2022|ON698767.1|2022-05-10	782	400
node_32	Wales/PHWC-PJEUAJ/2022|OY502321.1|2022-03-10	593	593
node_17	Scotland/QEUH-3A2C3D5/2022|OW239665.1|2022-03-10	610	610
node_53	BHR/22020280963_S69_L001/2022|ON627504.1|2022-05-18	609	609
node_55	England/PHEC-YYFB91I/2022|OX824144.1|2022-04-26	469	486
node_15	Germany/IMS-10122-CVDP-7E35DA19-2379-404C-849C-4922A312A784/2022|OY273593.1|2022-05-06	195	195
node_20	node_21	0	0
node_29	node_30	0	0
node_52	England/LSPA-3B4DAC9/2022|OW292329.1|2022-03-17	528	528
node_31	node_33	0	0
