Parent	Child	PanMAN_Diff	MAFFT_Diff
node_9	node_10	13	13
node_1	node_2	13792	13792
node_12	KU950617.1	11	11
node_7	node_8	66	66
node_11	KX894803.1	11	11
node_25	node_26	0	0
node_2	node_3	861	631
node_14	KJ672429.1	19	19
node_10	node_11	12	13
node_13	node_14	0	0
node_9	node_16	0	0
node_11	node_12	0	0
node_24	node_25	1	1
node_6	node_7	1336	802
node_12	KJ672454.1	539	41
node_14	MG813992.1	453	137
node_10	node_13	346	26
node_4	node_5	695	707
node_16	node_17	0	0
node_19	KU950696.1	389	19
node_21	KU950694.1	506	8
node_8	node_23	1	1
node_13	node_15	0	0
node_19	KU950612.1	505	7
node_15	KU950493.1	38	38
node_3	node_4	27713	4763
node_8	node_9	6	6
node_23	node_24	1	1
node_34	KU950550.1	23	24
node_31	node_35	390	69
node_44	KJ672441.1	25	25
node_20	node_22	47	47
node_18	KU950653.1	4	5
node_41	node_42	3	5
node_38	node_53	836	836
node_53	node_54	1	1
node_22	KJ672467.1	503	5
node_30	KU950483.1	22	22
node_28	node_30	2	2
node_24	node_28	326	7
node_5	node_6	467	385
node_18	KJ672468.1	48	48
node_26	KY982516.1	379	9
node_33	KU950570.1	14	11
node_27	KU950671.1	390	20
node_17	node_19	5	6
node_22	KU950626.1	491	171
node_32	node_34	502	5
node_34	KJ672449.1	48	48
node_7	node_38	10	10
node_41	MG813979.1	158	158
node_46	node_47	17	17
node_48	KM042388.1	19	19
node_49	KM042389.1	565	68
node_54	node_55	677	677
node_17	node_18	320	0
node_20	node_21	2	2
node_21	KU950475.1	12	13
node_23	node_31	33	34
node_25	node_27	18	18
node_32	node_33	8	11
node_29	KU950654.1	385	15
node_40	node_43	26	30
node_30	KU950664.1	60	60
node_26	MG813993.1	135	135
node_15	KJ672444.1	13	13
node_28	node_29	0	0
node_37	KY654512.1	6	6
node_37	MG813978.1	734	240
node_38	node_39	14	14
node_39	node_40	2	5
node_29	KX894799.1	48	48
node_36	KY654518.1	1	1
node_44	MH447952.1	222	230
node_47	node_48	0	0
node_16	node_20	2	2
node_33	KU950557.1	376	6
node_45	KU950592.1	63	63
node_48	KU950521.1	387	67
node_49	KJ672469.1	342	22
node_50	node_51	6	6
node_43	node_44	0	0
node_40	node_41	26	7
node_42	MH447951.1	587	92
node_45	KU950692.1	534	31
node_51	KU950642.1	49	49
node_51	MZ516077.1	134	134
node_52	KX765926.1	360	41
node_52	OK649683.1	84	84
node_50	node_52	8	8
node_35	node_36	0	0
node_39	node_46	320	0
node_31	node_32	16	16
node_35	node_37	3	3
node_42	KJ672428.1	409	39
node_36	KY654513.1	9	9
node_46	node_50	43	45
node_43	node_45	18	23
node_27	MG813977.1	118	118
node_47	node_49	0	0
node_58	node_59	2	2
node_56	KX894806.1	182	182
node_56	KJ672448.1	182	182
node_62	node_64	10	12
node_60	KF973319.1	890	200
node_55	node_56	6	6
node_57	MF614946.1	272	272
node_6	node_68	119	43
node_59	KF973331.1	279	282
node_57	KJ672432.1	187	187
node_54	node_58	338	18
node_61	node_65	409	7
node_58	node_60	12	14
node_55	node_57	0	0
node_59	KF973335.1	1097	229
node_60	KF973322.1	241	233
node_53	node_61	91	19
node_69	node_70	274	27
node_62	node_63	13	18
node_68	node_69	533	33
node_67	KF973325.1	580	264
node_61	node_62	1	5
node_66	KF973323.1	551	231
node_66	KF973328.1	234	232
node_78	node_80	895	186
node_64	KF973329.1	547	230
node_74	node_75	0	0
node_63	KF973334.1	262	261
node_63	KF973321.1	234	234
node_65	node_66	8	11
node_71	node_72	33	34
node_76	KJ627654.1	1062	217
node_73	KF973324.1	992	196
node_73	KF973333.1	594	224
node_78	node_79	45	45
node_72	KF973327.1	192	192
node_81	node_82	1	1
node_64	KF973332.1	621	218
node_74	node_76	10	11
node_71	node_74	10	10
node_70	node_71	0	0
node_91	KJ627721.1	1070	204
node_80	KF973320.1	1233	452
node_76	KJ627653.1	311	313
node_77	node_81	530	33
node_65	node_67	2	2
node_88	KJ627661.1	367	366
node_72	node_73	0	0
node_81	node_83	3	4
node_84	node_85	10	13
node_90	KJ627667.1	1038	192
node_67	KF973337.1	2856	1322
node_97	KJ627714.1	214	214
node_75	KF973326.1	1412	224
node_87	MG027859.1	361	361
node_75	KF973336.1	224	224
node_77	node_78	67	12
node_88	KJ627666.1	231	234
node_79	KJ627650.1	268	268
node_89	node_91	68	7
node_91	MG027861.1	8121	4037
node_89	node_90	40	41
node_92	node_93	8	9
node_79	KJ627649.1	585	215
node_94	KJ627720.1	1169	195
node_98	JQ901456.1	715	349
node_100	node_101	40	43
node_83	KF973340.1	572	202
node_87	MG027862.1	613	294
node_101	node_102	12	14
node_70	node_77	0	0
node_92	node_96	9	12
node_85	node_89	329	10
node_103	KJ627716.1	698	222
node_95	KJ627719.1	720	244
node_97	KJ627732.1	265	265
node_93	node_94	376	6
node_95	KJ627662.1	183	183
node_83	KF973338.1	708	233
node_69	node_84	51	33
node_85	node_86	6	7
node_84	node_92	403	34
node_90	KJ627668.1	262	262
node_80	KJ627655.1	1365	621
node_96	node_98	0	0
node_93	node_95	0	0
node_82	KF973330.1	1202	230
node_82	KF973339.1	251	251
node_103	KJ627717.1	631	261
node_102	node_103	11	19
node_104	KJ627718.1	1200	226
node_104	KJ627729.1	952	270
node_86	node_87	49	53
node_96	node_97	485	11
node_99	node_100	8	8
node_86	node_88	4	5
node_98	KJ627715.1	170	172
node_102	node_104	2	4
node_68	node_99	53	51
node_94	KJ627722.1	990	198
node_105	node_106	4	7
node_101	node_105	20	20
node_106	KJ627730.1	1902	1193
node_106	KF826827.1	287	294
node_105	node_107	68	81
node_110	JF920058.1	243	242
node_107	JQ901449.1	1219	247
node_109	node_110	523	50
node_107	JQ901450.1	657	288
node_100	node_108	320	0
node_109	node_111	58	60
node_113	KJ672479.1	127	127
node_99	node_115	97	97
node_114	KJ672474.1	498	128
node_111	KP317949.1	3660	2842
node_116	node_120	0	0
node_115	node_123	322	2
node_110	OK649617.1	611	293
node_123	node_124	24	24
node_112	node_114	498	1
node_108	node_109	41	44
node_111	OK649677.1	265	265
node_108	node_112	202	202
node_114	KU950564.1	987	191
node_121	KU950487.1	735	238
node_113	KP317956.1	746	378
node_118	KX894800.1	1053	207
node_125	KU950609.1	265	267
node_117	node_119	1	1
node_121	KU950479.1	667	239
node_124	node_126	0	0
node_112	node_113	0	0
node_117	node_118	3	3
node_120	node_122	32	32
node_116	node_117	10	10
node_123	node_127	409	41
node_128	OK649646.1	1123	281
node_120	node_121	526	51
node_129	OK649653.1	251	244
node_125	KJ672462.1	902	212
node_122	KU950616.1	526	206
node_127	node_128	0	0
node_119	KU950473.1	529	209
node_129	OK649637.1	566	247
node_124	node_125	4	4
node_128	KX765891.1	295	295
node_118	KJ672447.1	705	207
node_119	KU950501.1	1080	212
node_137	node_138	24	24
node_122	KX894798.1	209	209
node_151	KU950561.1	244	226
node_115	node_116	483	7
node_126	KJ672483.1	1121	218
node_145	KF826850.1	1102	234
node_132	node_133	612	45
node_126	OK649656.1	334	336
node_149	node_151	16	16
node_132	node_147	1	1
node_131	node_132	501	99
node_138	OK649649.1	761	268
node_135	OK649608.1	242	242
node_130	node_131	72	29
node_139	JX015487.1	762	300
node_146	KF826852.1	310	279
node_5	node_130	661	405
node_127	node_129	53	57
node_141	node_142	598	270
