node_1 node_2
node_2 node_3
node_3 node_4
node_4 node_5
node_5 node_6
node_6 node_7
node_7 node_8
node_8 NZ_CP041806.1
node_8 node_9
node_9 NZ_CP089776.1
node_9 NZ_CP044345.1
node_7 node_10
node_10 CP044345.1
node_10 node_11
node_11 OZ023114.1
node_11 NZ_OZ023123.1
node_6 node_12
node_12 node_13
node_13 NZ_OZ023122.1
node_13 node_14
node_14 OZ023118.1
node_14 OZ023123.1
node_12 node_15
node_15 NZ_OZ023110.1
node_15 node_16
node_16 OZ023122.1
node_16 NZ_OZ023112.1
node_5 node_17
node_17 node_18
node_18 node_19
node_19 NZ_OZ023116.1
node_19 node_20
node_20 NZ_OZ023119.1
node_20 NZ_OZ023113.1
node_18 node_21
node_21 OZ023121.1
node_21 node_22
node_22 NZ_OZ023118.1
node_22 NZ_CP089773.1
node_17 node_23
node_23 node_24
node_24 CP089773.1
node_24 node_25
node_25 NZ_OZ023109.1
node_25 OZ023109.1
node_23 node_26
node_26 node_27
node_27 NZ_CP089779.1
node_27 NZ_CP096844.1
node_26 node_28
node_28 NZ_CP096842.1
node_28 CP096842.1
node_4 node_29
node_29 node_30
node_30 node_31
node_31 node_32
node_32 CP012095.1
node_32 node_33
node_33 CP096848.1
node_33 NZ_CP096848.1
node_31 node_34
node_34 CP096841.1
node_34 node_35
node_35 NZ_CP096841.1
node_35 NZ_CP117298.1
node_30 node_36
node_36 node_37
node_37 CP117298.1
node_37 node_38
node_38 LT708304.1
node_38 NZ_CP096843.1
node_36 node_39
node_39 CP096840.1
node_39 node_40
node_40 NZ_CP096840.1
node_40 NZ_CP027035.1
node_29 node_41
node_41 node_42
node_42 node_43
node_43 CP015773.2
node_43 node_44
node_44 CP096839.1
node_44 NZ_CP096839.1
node_42 node_45
node_45 NZ_CP096845.1
node_45 node_46
node_46 AM408590.1
node_46 CP003494.1
node_41 node_47
node_47 node_48
node_48 NZ_CP008744.1
node_48 node_49
node_49 NZ_CP039850.1
node_49 CP014566.1
node_47 node_50
node_50 node_51
node_51 NC_016804.1
node_51 CP039850.1
node_50 node_52
node_52 NZ_CP039851.1
node_52 CP013741.1
node_3 node_53
node_53 node_54
node_54 node_55
node_55 node_56
node_56 node_57
node_57 CP009243.1
node_57 node_58
node_58 CP003900.2
node_58 AM412059.2
node_56 node_59
node_59 NZ_AM412059.1
node_59 node_60
node_60 AP010918.1
node_60 CP069065.1
node_55 node_61
node_61 node_62
node_62 FR878060.1
node_62 node_63
node_63 NZ_CP069064.1
node_63 LR882499.1
node_61 node_64
node_64 LR882498.1
node_64 node_65
node_65 NZ_LR882498.1
node_65 NZ_LR882497.1
node_54 node_66
node_66 node_67
node_67 node_68
node_68 LR882496.1
node_68 node_69
node_69 CP154612.1
node_69 NZ_CP154612.1
node_67 node_70
node_70 NZ_CP069063.1
node_70 node_71
node_71 NZ_OW052570.1
node_71 OW052570.1
node_66 node_72
node_72 node_73
node_73 NZ_OW052188.1
node_73 node_74
node_74 NZ_CP041793.1
node_74 CP041793.1
node_72 node_75
node_75 node_76
node_76 NZ_CP069077.1
node_76 CP069077.1
node_75 node_77
node_77 NZ_CP041798.1
node_77 NZ_CP041859.1
node_53 node_78
node_78 node_79
node_79 node_80
node_80 node_81
node_81 AP018033.1
node_81 node_82
node_82 AP024459.1
node_82 NZ_AP024459.1
node_80 node_83
node_83 AP024458.1
node_83 node_84
node_84 NZ_AP024458.1
node_84 AP024457.1
node_79 node_85
node_85 node_86
node_86 NZ_CP097109.1
node_86 node_87
node_87 CP097109.1
node_87 CP152406.1
node_85 node_88
node_88 NZ_CP041795.1
node_88 node_89
node_89 NZ_CP041802.1
node_89 CP041792.1
node_78 node_90
node_90 node_91
node_91 node_92
node_92 CP130816.1
node_92 node_93
node_93 CP130758.1
node_93 CP130760.1
node_91 node_94
node_94 CP130808.1
node_94 node_95
node_95 CP130771.1
node_95 CP130783.1
node_90 node_96
node_96 node_97
node_97 CP130772.1
node_97 node_98
node_98 CP130810.1
node_98 CP130813.1
node_96 node_99
node_99 node_100
node_100 CP130811.1
node_100 NZ_CP130811.1
node_99 node_101
node_101 CP130800.1
node_101 NZ_CP041791.1
node_2 node_102
node_102 node_103
node_103 node_104
node_104 node_105
node_105 node_106
node_106 node_107
node_107 CP041791.1
node_107 node_108
node_108 NZ_CP097112.1
node_108 CP041811.1
node_106 node_109
node_109 NZ_CP041811.1
node_109 node_110
node_110 CP041796.1
node_110 NZ_CP041796.1
node_105 node_111
node_111 node_112
node_112 CP130787.1
node_112 node_113
node_113 CP130804.1
node_113 CP041801.1
node_111 node_114
node_114 CP041826.1
node_114 node_115
