Parent	Child	PanMAN_Diff	MAFFT_Diff	Difference
node_7	node_8	55	35	20
node_11	KX894803.1	11	11	0
node_8	node_9	0	0	0
node_11	node_12	0	0	0
node_13	node_14	324	0	324
node_5	node_6	38	22	16
node_13	node_15	0	0	0
node_12	KJ672454.1	365	41	324
node_9	node_10	12	12	0
node_12	KU950617.1	11	11	0
node_14	MG813992.1	361	123	238
node_4	node_5	152	31	121
node_15	KU950493.1	28	28	0
node_10	node_13	16	16	0
node_6	node_7	701	632	69
node_10	node_11	12	12	0
node_14	KJ672429.1	29	29	0
node_2	node_3	700	571	129
node_1	node_2	3393	3401	-8
node_3	node_4	5597	3611	1986
node_15	KJ672444.1	23	23	0
node_18	KU950653.1	3	3	0
node_16	node_17	0	0	0
node_9	node_16	54	0	54
node_19	KU950612.1	5	5	0
node_17	node_19	4	4	0
node_16	node_20	2	2	0
node_18	KJ672468.1	49	49	0
node_20	node_21	1	1	0
node_20	node_22	702	140	562
node_21	KU950475.1	12	12	0
node_19	KU950696.1	17	17	0
node_17	node_18	0	0	0
node_8	node_23	0	0	0
node_21	KU950694.1	7	7	0
node_22	KU950626.1	79	79	0
node_22	KJ672467.1	97	97	0
node_23	node_24	2	2	0
node_24	node_25	0	0	0
node_25	node_26	0	0	0
node_26	KY982516.1	2	2	0
node_26	MG813993.1	704	142	562
node_27	MG813977.1	687	125	562
node_28	node_30	2	2	0
node_24	node_28	0	0	0
node_25	node_27	18	18	0
node_27	KU950671.1	13	13	0
node_29	KX894799.1	48	48	0
node_23	node_31	35	35	0
node_28	node_29	0	0	0
node_30	KU950483.1	17	17	0
node_30	KU950664.1	61	60	1
node_33	KU950570.1	3	3	0
node_29	KU950654.1	339	15	324
node_31	node_32	16	16	0
node_33	KU950557.1	8	8	0
node_32	node_34	1	1	0
node_32	node_33	3	3	0
node_34	KJ672449.1	60	60	0
node_34	KU950550.1	336	11	325
node_35	node_36	0	0	0
node_36	KY654518.1	1	1	0
node_31	node_35	59	59	0
node_36	KY654513.1	9	9	0
node_37	KY654512.1	9	9	0
node_35	node_37	0	0	0
node_7	node_38	1	1	0
node_39	node_40	0	0	0
node_37	MG813978.1	798	237	561
node_38	node_39	5	5	0
node_40	node_41	3	3	0
node_42	KJ672428.1	54	54	0
node_41	MG813979.1	141	141	0
node_40	node_43	157	157	0
node_41	node_42	1	1	0
node_42	MH447951.1	1169	74	1095
node_43	node_44	0	0	0
node_44	MH447952.1	640	78	562
node_44	KJ672441.1	169	169	0
node_43	node_45	78	78	0
node_45	KU950692.1	636	74	562
node_39	node_46	0	0	0
node_45	KU950592.1	0	0	0
node_47	node_48	0	0	0
node_46	node_47	34	34	0
node_48	KM042388.1	342	19	323
node_46	node_50	27	27	0
node_47	node_49	0	0	0
node_49	KJ672469.1	22	22	0
node_48	KU950521.1	68	67	1
node_51	KU950642.1	40	40	0
node_50	node_51	0	0	0
node_52	KX765926.1	31	30	1
node_49	KM042389.1	68	68	0
node_51	MZ516077.1	124	124	0
node_50	node_52	0	0	0
node_53	node_54	0	0	0
node_52	OK649683.1	73	73	0
node_38	node_53	679	679	0
node_54	node_55	730	729	1
node_55	node_56	6	6	0
node_56	KX894806.1	0	0	0
node_56	KJ672448.1	324	0	324
node_55	node_57	0	0	0
node_57	KJ672432.1	5	5	0
node_57	MF614946.1	417	92	325
node_54	node_58	0	0	0
node_58	node_59	2	2	0
node_58	node_60	0	0	0
node_59	KF973335.1	50	50	0
node_60	KF973322.1	33	33	0
node_53	node_61	32	32	0
node_59	KF973331.1	76	76	0
node_60	KF973319.1	0	0	0
node_62	node_63	1	1	0
node_63	KF973321.1	0	0	0
node_61	node_62	0	0	0
node_63	KF973334.1	32	32	0
node_62	node_64	17	17	0
node_64	KF973329.1	0	0	0
node_64	KF973332.1	63	63	0
node_61	node_65	0	0	0
node_65	node_66	0	0	0
node_66	KF973328.1	2	2	0
node_65	node_67	0	0	0
node_66	KF973323.1	325	1	324
node_67	KF973325.1	27	27	0
node_67	KF973337.1	1162	1162	0
node_69	node_70	47	47	0
node_6	node_68	59	59	0
node_68	node_69	3	3	0
node_70	node_71	0	0	0
node_73	KF973333.1	28	28	0
node_71	node_72	20	20	0
node_72	KF973327.1	4	4	0
node_72	node_73	0	0	0
node_71	node_74	41	41	0
node_73	KF973324.1	0	0	0
node_74	node_75	10	10	0
node_75	KF973336.1	0	0	0
node_75	KF973326.1	0	0	0
node_76	KJ627654.1	9	9	0
node_74	node_76	5	5	0
node_76	KJ627653.1	96	96	0
node_70	node_77	4	4	0
node_77	node_78	1	1	0
node_78	node_79	13	16	-3
node_79	KJ627649.1	44	44	0
node_78	node_80	324	0	324
node_80	KJ627655.1	642	630	12
node_80	KF973320.1	7	7	0
node_77	node_81	9	9	0
node_79	KJ627650.1	54	55	-1
node_81	node_82	2	3	-1
node_81	node_83	1	1	0
node_83	KF973340.1	42	42	0
node_82	KF973330.1	1226	5	1221
node_82	KF973339.1	28	28	0
node_83	KF973338.1	9	9	0
node_69	node_84	31	31	0
node_84	node_85	13	13	0
node_86	node_87	37	37	0
node_85	node_86	4	4	0
node_87	MG027862.1	90	90	0
node_86	node_88	2	2	0
node_87	MG027859.1	155	155	0
node_88	KJ627666.1	14	14	0
node_88	KJ627661.1	201	201	0
node_85	node_89	1	1	0
node_91	KJ627721.1	7	7	0
node_90	KJ627667.1	1	1	0
node_89	node_90	7	7	0
node_89	node_91	45	45	0
node_90	KJ627668.1	69	69	0
node_93	node_94	6	6	0
node_94	KJ627720.1	3	3	0
node_92	node_93	1	1	0
node_91	MG027861.1	5140	4231	909
node_84	node_92	6	6	0
node_94	KJ627722.1	1078	6	1072
node_93	node_95	0	0	0
node_95	KJ627719.1	52	52	0
node_95	KJ627662.1	15	15	0
node_96	node_97	1	2	-1
node_92	node_96	3	3	0
node_97	KJ627732.1	66	66	0
node_97	KJ627714.1	19	19	0
node_96	node_98	0	0	0
node_98	JQ901456.1	153	152	1
node_99	node_100	3	3	0
node_98	KJ627715.1	55	55	0
node_100	node_101	37	37	0
node_101	node_102	6	6	0
node_68	node_99	44	10	34
node_103	KJ627717.1	43	43	0
node_102	node_103	0	0	0
node_103	KJ627716.1	4	4	0
node_104	KJ627718.1	33	33	0
node_102	node_104	0	0	0
node_104	KJ627729.1	38	40	-2
node_101	node_105	56	57	-1
node_105	node_106	0	0	0
node_106	KF826827.1	21	24	-3
node_105	node_107	43	45	-2
node_106	KJ627730.1	1166	1002	164
node_107	JQ901449.1	328	4	324
node_107	JQ901450.1	49	49	0
node_100	node_108	0	0	0
node_108	node_109	36	37	-1
node_109	node_110	45	45	0
node_110	JF920058.1	38	38	0
node_110	OK649617.1	55	55	0
node_111	KP317949.1	3047	2723	324
node_111	OK649677.1	799	384	415
node_109	node_111	359	359	0
node_113	KJ672479.1	0	0	0
node_113	KP317956.1	1066	505	561
node_108	node_112	309	147	162
node_112	node_113	0	0	0
node_112	node_114	0	0	0
node_114	KJ672474.1	2	2	0
node_114	KU950564.1	65	65	0
node_99	node_115	102	101	1
node_115	node_116	33	33	0
node_116	node_117	10	10	0
node_117	node_118	3	3	0
node_118	KX894800.1	0	0	0
node_117	node_119	1	1	0
node_118	KJ672447.1	0	0	0
node_119	KU950473.1	2	2	0
node_119	KU950501.1	329	5	324
node_116	node_120	0	0	0
node_120	node_121	60	60	0
node_121	KU950479.1	1199	23	1176
node_121	KU950487.1	18	18	0
node_122	KU950616.1	0	0	0
node_120	node_122	33	33	0
node_115	node_123	21	21	0
node_122	KX894798.1	327	3	324
node_123	node_124	25	25	0
node_124	node_125	3	3	0
node_125	KJ672462.1	52	52	0
node_125	KU950609.1	1165	14	1151
node_124	node_126	0	0	0
node_126	KJ672483.1	381	57	324
node_126	OK649656.1	83	83	0
node_127	node_128	0	0	0
node_123	node_127	25	25	0
node_128	OK649646.1	39	39	0
node_127	node_129	21	21	0
node_128	KX765891.1	119	119	0
node_129	OK649653.1	28	28	0
node_5	node_130	44	46	-2
node_129	OK649637.1	25	24	1
node_131	node_132	107	107	0
node_130	node_131	30	26	4
node_132	node_133	43	43	0
node_133	node_134	46	45	1
node_135	OK649608.1	55	55	0
node_134	node_135	3	3	0
node_135	node_136	24	24	0
node_136	OK649606.1	12	12	0
node_136	OK649595.1	0	0	0
node_134	node_137	0	0	0
node_137	node_138	29	29	0
node_138	OK649635.1	2	2	0
node_138	OK649649.1	24	24	0
node_139	KF826826.1	10	10	0
node_137	node_139	345	22	323
node_133	node_140	5	5	0
node_139	JX015487.1	944	73	871
node_140	node_141	1	1	0
node_141	node_142	25	25	0
node_141	node_143	0	0	0
node_143	JQ901448.1	60	60	0
node_142	KF826828.1	21	21	0
node_143	KF826841.1	62	62	0
node_145	KF826850.1	23	22	1
node_140	node_144	25	25	0
node_144	node_145	19	19	0
node_145	KF530268.1	1241	109	1132
node_142	KF530267.1	6132	5191	941
node_144	node_146	1	1	0
node_146	KF826852.1	69	68	1
node_146	KF826837.1	354	30	324
node_132	node_147	0	0	0
node_147	node_148	203	203	0
node_149	node_150	21	21	0
node_148	node_149	39	39	0
node_150	KF826836.1	533	209	324
node_150	KF826816.1	1899	1403	496
node_149	node_151	16	16	0
node_151	KU950561.1	993	223	770
node_151	KF826846.1	214	214	0
node_148	node_152	292	54	238
node_153	MH760599.1	84	84	0
node_152	node_154	649	203	446
node_152	node_153	358	34	324
node_153	KX765933.1	494	256	238
node_154	MF001038.1	80	80	0
node_154	KF826832.1	56	56	0
node_155	node_156	74	74	0
node_147	node_155	33	33	0
node_156	node_157	14	14	0
node_157	KJ627709.1	1	1	0
node_157	KJ627708.1	11	11	0
node_158	KJ627677.1	721	680	41
node_156	node_158	42	42	0
node_158	KJ627676.1	340	16	324
node_159	node_160	44	44	0
node_155	node_159	38	38	0
node_160	KF826824.1	53	53	0
node_160	KF826823.1	3	3	0
node_159	node_161	21	21	0
node_161	JQ901454.1	70	68	2
node_161	JQ901451.1	99	66	33
node_131	node_162	0	0	0
node_162	node_163	3	3	0
node_164	node_165	0	0	0
node_163	node_164	1	1	0
node_165	node_166	55	55	0
node_166	KJ643545.1	1	1	0
node_165	KJ627690.1	108	108	0
node_166	KJ643523.1	8	8	0
node_164	node_167	0	0	0
node_167	node_168	0	0	0
node_168	KJ643556.1	16	16	0
node_168	KJ643551.1	327	3	324
node_167	node_169	0	0	0
node_169	KJ643553.1	9	9	0
node_169	KJ643554.1	21	21	0
node_163	node_170	4	4	0
node_172	KJ643486.1	0	0	0
node_171	node_172	22	22	0
node_170	node_171	27	29	-2
node_172	KJ643547.1	852	528	324
node_171	node_173	0	0	0
node_173	KJ643485.1	65	65	0
node_174	node_175	0	0	0
node_173	KJ643525.1	6	6	0
node_170	node_174	0	0	0
node_175	KJ643548.1	110	110	0
node_175	KJ643555.1	10	10	0
node_174	node_176	0	0	0
node_176	KJ643579.1	47	49	-2
node_177	node_178	0	0	0
node_176	KJ643546.1	10	10	0
node_162	node_177	0	0	0
node_178	node_179	0	0	0
node_180	KJ643512.1	338	14	324
node_179	node_180	0	0	0
node_180	KJ643491.1	49	49	0
node_179	node_181	1	1	0
node_181	KJ643567.1	63	63	0
node_181	KJ643535.1	20	20	0
node_178	node_182	0	0	0
node_182	node_183	16	16	0
node_183	KJ643503.1	16	16	0
node_183	KJ643552.1	8	8	0
node_182	node_184	31	31	0
node_184	KJ643468.1	36	46	-10
node_184	KJ643534.1	7	7	0
node_177	node_185	0	0	0
node_185	node_186	19	19	0
node_186	node_187	0	0	0
node_187	KJ643497.1	34	36	-2
node_187	KJ643474.1	33	33	0
node_186	node_188	5	8	-3
node_188	KJ643475.1	0	0	0
node_185	node_189	0	0	0
node_189	node_190	1	1	0
node_188	KJ643484.1	331	7	324
