Parent	Child	PanMAN_Diff	MAFFT_Diff
node_14	22_01A1.CM.2010.LB005.JN864050	1273	266
node_12	node_13	1026	783
node_6	node_7	153	47
node_12	node_16	116	111
node_7	node_8	410	86
node_11	node_12	109	100
node_13	node_15	623	279
node_8	node_9	391	380
node_9	node_10	305	301
node_3	node_4	1588	850
node_10	node_11	186	161
node_13	node_14	63	60
node_5	node_6	447	326
node_16	node_17	712	438
node_15	22_01A1.CM.2010.DE02210CM010.KF716460	1594	353
node_2	node_3	1259	866
node_15	22_01A1.CM.2010.DE02210CM005.KP109499	1598	929
node_14	22_01A1.CM.2010.Read36_HIV_CRF22_01A1.KX228816	952	306
node_4	node_5	478	397
node_1	node_2	1957	1863
node_17	22_01A1.CM.2010.DE02210CM012.KF716462	1095	854
node_16	node_18	405	195
node_24	22_01A1.CM.2010.DE02210CM006.KP109500	1346	623
node_17	22_01A1.CM.2010.LB013.JN864058	1741	674
node_22	22_01A1.CM.2002.02CM_3097MN.GQ229529	1898	759
node_18	node_19	1575	854
node_20	node_21	90	90
node_25	node_26	21	24
node_18	22_01A1.CM.2008.08CMBDSH138.MN153487	1524	905
node_20	node_25	613	588
node_24	22_01A1.CM.2010.LB054.JN864059	610	382
node_26	22_01A1.CM.2010.DE02210CM014.KF716463	1806	1384
node_19	22_01A1.CM.2002.02CM_1867LE.AY371165	333	322
node_11	node_20	80	84
node_21	node_23	300	311
node_22	0122F.CM.2001.01CM_0130NY.AY371167	1423	1134
node_19	22_01A1.CM.2001.01CM_0001BBY.AY371159	1792	299
node_21	node_22	253	257
node_23	node_24	166	184
node_23	22_01A1.CM.2010.Read37_HIV_CRF22_01A1.KX228817	1062	503
node_25	node_27	585	592
node_10	node_29	371	176
node_26	22_01A1.CM.2010.LB011.JN864051	1587	765
node_27	node_28	637	223
node_27	22_01A1.CM.2010.DE02210CM011.KF716461	241	239
node_34	0222.CM.2006.NYU488.JN864047	547	83
node_31	node_32	64	60
node_32	22_01A1.CM.2002.02CAMLT72.EU743963	921	704
node_31	node_33	313	89
node_29	node_30	204	145
node_28	22_01A1.CM.2010.10CMLB092.MT349413	2237	1450
node_37	138_cpx.BE.2019.EH.MT417770	1499	648
node_34	0222.CM.2006.ARC087.JN864048	438	77
node_33	node_34	749	754
node_32	22_01A1.CM.2006.LPH27MF.JN864049	1419	771
