Parent	Child	PanMAN_Diff	MAFFT_Diff	Expected_Mismatch_Count_After_Correction	Mismatch_Count_In_MA_Blocks
node_19995	B.US.2012.505_1276a.WG02.MG196981	 4629	4393	 4393	 0
node_19994	node_19995	 0	0	 0	 0
node_19982	node_19987	 0	0	 0	 0
node_19997	B.US.2012.505_1276a.WG07.MG196978	 4630	4394	 4394	 0
node_19983	node_19984	 184	180	 184	 0
node_19970	B.US.2018.114-PB-30B6.MK169538	 4312	4312	 4312	 0
node_19981	node_19991	 110	110	 110	 0
node_19992	node_19993	 0	0	 0	 0
node_19995	B.US.2012.505_1276a.WG09.MG196975	 4394	4394	 4394	 0
node_19998	B.US.2008.HIV_US_BID-V3128_2008.JQ403082	 4879	4122	 4095	 36
node_19996	node_19998	 246	246	 246	 0
node_19994	B.US.2012.505_1276a.WG11.MG196977	 5691	4393	 4393	 0
node_19999	B.DE.2012.635056.KT124787	 4512	4285	 4276	 9
node_19992	node_19994	 236	0	 0	 0
node_19968	node_19970	 20	20	 20	 0
node_19969	B.US.2018.114-LN-7G20.MK169495	 4208	4208	 4208	 0
node_19962	node_19972	 290	256	 290	 0
node_19997	B.US.2012.505_1276a.WG08.MG196974	 8238	4397	 4396	 1
node_19971	B.US.2018.114-PB-73P8.MK169543	 4297	4297	 4297	 0
node_19961	node_19962	 96	96	 96	 0
node_19998	node_19999	 73	66	 73	 0
node_19978	B.BR.2010.10BR_PE039.KT427726	 4027	4026	 4027	 0
node_19972	node_19973	 123	125	 123	 0
node_19963	node_19968	 3	3	 3	 0
node_19955	B.US.2018.114-PB-17H6.MK169536	 4789	4308	 4307	 1
node_19965	B.US.2018.114-LN-3O21.MK169516	 4972	3677	 3670	 7
node_19967	B.US.2018.114-LN-9L17.MK169518	 6485	3724	 3881	 9
node_19942	node_19952	 1	1	 1	 0
node_19980	B.BE.2017.BZ.MN486022	 4359	3951	 3943	 12
node_19979	node_19980	 1277	1044	 1041	 3
node_19954	B.US.2018.114-PB-10G7.MK169525	 4995	4759	 4759	 0
node_19952	node_19953	 7	7	 7	 0
node_19963	node_19964	 653	653	 653	 0
node_19976	B.US.2011.ES22-27.KF384808	 6607	5000	 4941	 60
node_19960	B.US.2018.114-LN-11D17.MK169520	 4828	4354	 4346	 8
node_19959	node_19960	 8	8	 8	 0
node_19951	B.US.2018.114-PB-57F10.MK169526	 4324	4324	 4324	 0
node_19954	B.US.2018.114-PB-6C6.MK169524	 7679	4760	 4755	 5
node_19933	node_19934	 63	63	 63	 0
node_19951	B.US.2018.114-LN-9O7.MK169534	 4754	4273	 4272	 1
node_19944	node_19945	 1	1	 1	 0
node_19934	node_19936	 76	76	 76	 0
node_19935	B.US.2010.DEMB10US003.KC473826	 4814	4814	 4814	 0
node_19984	B.BE.2017.DC.MT417739	 4913	4502	 4497	 5
node_19939	B.US.2018.114-PB-64D8.MK169512	 5395	4515	 4513	 2
node_19948	node_19949	 16	16	 16	 0
node_19913	node_19914	 0	0	 0	 0
node_19914	node_19916	 368	0	 0	 0
node_19956	B.US.2018.114-PB-39D10.MK169540	 5181	4300	 4299	 1
node_19936	node_19937	 497	266	 261	 5
node_19929	node_19930	 3574	268	 241	 27
node_19936	B.RU.2016.RU_ERS_3053_2016.MZ427753	 7996	4787	 4665	 126
node_19907	node_19908	 236	0	 0	 0
node_19958	B.US.2018.114-PB-74P6.MK169528	 4548	4548	 4548	 0
node_19938	node_19940	 11	11	 11	 0
node_19919	B.US.2006.502_1619_FL08.JF320121	 3841	3841	 3841	 0
node_19905	node_19907	 3	3	 3	 0
node_19966	B.US.2018.114-LN-2I22.MK169513	 3674	3674	 3674	 0
node_19941	B.US.2018.114-LN-3I3.MK169529	 4228	4228	 4228	 0
node_19937	B.ES.2013.DEMB13ES010.KP109518	 4792	4778	 4792	 0
node_19931	node_19932	 516	161	 148	 13
node_19899	node_19901	 0	0	 0	 0
node_19893	B.US.2019.5210-WK26-PL1-A2.OM206397	 4846	3580	 3580	 0
node_19960	B.US.2018.114-LN-11D1.MK169519	 4531	4325	 4323	 2
node_19887	node_19889	 0	0	 0	 0
node_19845	node_19884	 147	147	 147	 0
node_19917	B.US.2006.502_1619_FL10.JF320124	 5616	3844	 3842	 2
node_19908	B.US.2019.5210-WK-2-PL13-N7.OM209673	 3687	3687	 3687	 0
node_19901	B.US.2019.5210-WK26-PL1-O11.OM206415	 3863	3577	 3577	 0
node_19945	B.US.2018.114-LN-7F24.MK169531	 4290	4290	 4290	 0
node_19934	node_19935	 49	49	 49	 0
node_19921	B.US.2006.502_1619_FL09.JF320120	 7293	1579	 1560	 19
node_19880	node_19882	 0	0	 0	 0
node_19887	node_19888	 0	0	 0	 0
node_19891	B.US.2019.5210-WK26-PL15-L6.OM206390	 8864	3695	 3694	 1
node_19919	B.US.2006.502_1619_FL07.JF320128	 3843	3843	 3843	 0
node_19892	B.US.2019.5210-WK26-PL7-L11.OM206547	 3572	3572	 3572	 0
node_19912	B.US.2019.5210-WK-2-PL6-H2.OM206763	 9134	3935	 3920	 15
node_19913	node_19918	 0	0	 0	 0
node_19890	node_19891	 144	144	 144	 0
node_19909	node_19911	 786	2	 2	 0
node_19889	B.US.2019.5210-WK26-PL12-H9.OM206358	 8786	3812	 3812	 0
